town,page,url
gistel,1,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbt08324
gistel,1,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbt32996
gistel,1,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbt67400
gistel,1,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbt69422
gistel,1,https://immovlan.be/en/detail/master-house/for-sale/8470/gistel/rbt64761
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbs82903
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt38812
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt38813
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt38814
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt44214
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt66255
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt70220
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt70858
gistel,1,https://immovlan.be/en/detail/residence/for-sale/8470/moere/rbs49187
gistel,1,https://immovlan.be/en/detail/villa/for-sale/8470/gistel/rbt03439
gistel,2,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbs41551
gistel,2,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbs77365
gistel,2,https://immovlan.be/en/detail/apartment/for-sale/8470/gistel/rbt21415
gistel,2,https://immovlan.be/en/detail/mixed-building/for-sale/8470/gistel/rwc38330
gistel,2,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbn96132
gistel,2,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbs69695
gistel,2,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbs69696
gistel,2,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbs87337
gistel,2,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt08974
gistel,2,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbt15269
